"","TBT_1","TBT_2","TBT_3","DMSO_1","DMSO_2","DMSO_3"
"ENSMUSG00000061024",41.4559369563673,43.399219900814,47.9998210268922,62.0862122343795,58.6640406877894,37.2985540779083
"ENSMUSG00000056708",42.1962215448739,42.4950694862137,50.823339910827,66.3680199746816,68.441380802421,41.9608733376468
"ENSMUSG00000033671",108.081549921958,103.073147264433,95.0584690924728,124.172424468759,113.661578832592,146.863056681764
"ENSMUSG00000098923",33.3128064827952,25.3162116088082,40.4704373363993,41.7476254679449,37.8871929441974,27.9739155584312
"ENSMUSG00000099471",10.3639842390918,2.71245124380088,10.3529025744277,14.9863270910571,2.44433502865789,3.4967394448039
"ENSMUSG00000058603",54.0407749609788,38.8784678278126,43.2939562203341,32.1135580522653,35.4428579155395,43.1264531525814
"ENSMUSG00000084106",283.528997398012,164.555375457253,223.057991830852,112.397453182928,167.436949463066,132.876098902548
"ENSMUSG00000046994",28.1308143632492,19.8913091212064,19.7646321875438,21.4090387015102,41.5536954871842,22.146016483758
"ENSMUSG00000082935",21.4682530666902,22.6037603650073,25.4116699554135,27.8317503119632,23.22118277225,9.32463851947707
"ENSMUSG00000100215",26.6502451862361,22.6037603650073,25.4116699554135,19.2681348313592,14.6660101719474,23.3115962986927
"ENSMUSG00000038349",13.3251225931181,16.2747074628053,12.235248497051,18.1976828962837,23.22118277225,15.1525375941502
"ENSMUSG00000039349",397.532824028022,359.851865010916,458.351232158755,489.196534329508,312.87488366821,391.634817818037
"ENSMUSG00000090394",35.5336602483148,115.731253068837,102.587852782966,139.158751559816,100.217736174974,127.048199827875
"ENSMUSG00000070960",7.40284588506559,7.23320331680234,15.9999403422974,7.49316354552856,21.999015257921,10.4902183344117
"ENSMUSG00000078190",12.5848380046115,9.94565456060322,15.0587673809858,7.49316354552856,10.9995076289605,9.32463851947707
"ENSMUSG00000049866",80.6910201472149,13.5622562190044,19.7646321875438,17.1272309612081,19.5546802292631,9.32463851947707
"ENSMUSG00000052062",37.0142294253279,36.1660165840117,41.4116102977109,36.3953657925673,45.220198030171,32.6362348181697
"ENSMUSG00000073616",140.654071816246,206.146294528867,192.94045706888,128.454232209061,163.770446920079,208.638786873299
"ENSMUSG00000051344",51.0796366069526,55.1531752906178,45.1763021429574,61.015760299304,42.7758630015131,53.6166714869931
"ENSMUSG00000089838",22.2085376551968,26.2203620234085,38.5880914137761,16.0567790261326,50.1088680874868,33.8018146331044
"ENSMUSG00000089782",12.5848380046115,9.04150414600293,12.235248497051,19.2681348313592,13.4438426576184,11.6557981493463
"ENSMUSG00000103922",6.66256129655903,9.94565456060322,15.9999403422974,13.9158751559816,17.1103452006053,16.3181174090849
"ENSMUSG00000050229",40.7156523678607,61.4822281928199,47.9998210268922,80.2838951306632,83.1073909743684,47.78877241232
"ENSMUSG00000026358",5.18199211954591,21.699609950407,22.5881510714787,2.14090387015102,17.1103452006053,11.6557981493463
"ENSMUSG00000037872",5.18199211954591,12.6581058044041,20.7058051488555,5.35225967537755,10.9995076289605,25.6427559285619
"ENSMUSG00000103983",6.66256129655903,5.42490248760175,9.41172961311612,11.7749712858306,7.33300508597368,11.6557981493463
"ENSMUSG00000103653",18.507114712664,21.699609950407,26.3528429167251,29.9726541821143,24.4433502865789,46.6231925973853
"ENSMUSG00000078193",45.1573598989001,55.1531752906178,50.823339910827,24.6203945067367,32.9985228868816,24.4771761136273
"ENSMUSG00000040865",93.2758581518264,70.5237323388228,78.1173557888638,128.454232209061,106.328573746618,92.080805379836
"ENSMUSG00000079139",114.00382663001,172.692729188656,167.528787113467,369.305917601051,116.10591386125,249.434080396012
"ENSMUSG00000037408",29.6113835402624,12.6581058044041,9.41172961311612,8.56361548060407,4.88867005731579,12.821377964281
"ENSMUSG00000084093",24.4293914207164,48.8241223884158,58.3527236013199,20.3385867664347,46.4423655445,55.9478311168624
"ENSMUSG00000086825",16.2862609471443,29.8369636818097,31.0587077232832,33.1840099873408,21.999015257921,22.146016483758
"ENSMUSG00000121135",8.14313047357215,11.7539553898038,15.9999403422974,12.8454232209061,6.11083757164473,3.4967394448039
"ENSMUSG00000100594",5.92227670805247,33.4535653402108,30.1175347619716,12.8454232209061,23.22118277225,20.9804366688234
"ENSMUSG00000079671",3.70142294253279,9.94565456060322,15.0587673809858,14.9863270910571,14.6660101719474,15.1525375941502
"ENSMUSG00000121483",5.18199211954591,29.8369636818097,20.7058051488555,21.4090387015102,13.4438426576184,23.3115962986927
"ENSMUSG00000121798",32.5725218942886,23.5079107796076,24.4704969941019,14.9863270910571,29.3320203438947,26.8083357434966
"ENSMUSG00000098234",88.8341506207871,64.1946794366208,65.8821072918128,44.9589812731714,76.9965534027236,62.9413100064702
"ENSMUSG00000097316",10.3639842390918,6.32905290220205,9.41172961311612,8.56361548060407,4.88867005731579,12.821377964281
"ENSMUSG00000104435",11.1042688275984,6.32905290220205,10.3529025744277,11.7749712858306,4.88867005731579,2.33115962986927
"ENSMUSG00000141370",3.70142294253279,14.4664066336047,10.3529025744277,9.63406741567958,17.1103452006053,15.1525375941502
"ENSMUSG00000026473",2211.23006586909,5814.59131629448,7999.02899818739,6458.03652431055,12501.5515040708,10264.0958503144
"ENSMUSG00000101188",311.659811761261,188.967436651461,215.528608140359,195.892704118818,268.876853152368,220.294585022646
"ENSMUSG00000102824",40.7156523678607,21.699609950407,31.0587077232832,28.9022022470387,35.4428579155395,37.2985540779083
"ENSMUSG00000101523",27.3905297747427,28.0286628526091,31.9998806845948,36.3953657925673,52.5532031161447,47.78877241232
"ENSMUSG00000053332",387.16883978893,283.903230184492,364.233936027594,299.726541821143,333.651731411802,272.745676694704
"ENSMUSG00000096929",11.8445534161049,9.04150414600293,9.41172961311612,6.42271161045305,7.33300508597368,10.4902183344117
"ENSMUSG00000100627",7.40284588506559,19.8913091212064,18.8234592262322,23.5499425716612,21.999015257921,23.3115962986927
"ENSMUSG00000073478",8.88341506207871,14.4664066336047,14.1175944196742,13.9158751559816,7.33300508597368,23.3115962986927
"ENSMUSG00000102976",15.5459763586377,10.8498049752035,11.2940755357393,25.6908464418122,8.55517260030263,12.821377964281
"ENSMUSG00000100131",4.44170753103935,13.5622562190044,12.235248497051,9.63406741567958,14.6660101719474,9.32463851947707
"ENSMUSG00000101111",22.9488222437033,28.0286628526091,22.5881510714787,19.2681348313592,41.5536954871842,33.8018146331044
"ENSMUSG00000100862",26.6502451862361,34.3577157548111,40.4704373363993,51.3816928836244,37.8871929441974,50.1199320421892
"ENSMUSG00000102070",21.4682530666902,42.4950694862137,27.2940158780367,27.8317503119632,35.4428579155395,34.967394448039
"ENSMUSG00000101249",21.4682530666902,27.1245124380088,27.2940158780367,12.8454232209061,34.2206904012105,40.7952935227122
"ENSMUSG00000100347",10.3639842390918,16.2747074628053,7.52938369049289,10.7045193507551,13.4438426576184,9.32463851947707
"ENSMUSG00000081051",245.034198795671,175.405180432457,200.469840759373,111.327001247853,158.881776862763,138.703997977221
"ENSMUSG00000048538",9.62369965058527,9.04150414600293,9.41172961311612,2.14090387015102,13.4438426576184,9.32463851947707
"ENSMUSG00000039630",952.746265407941,747.732392874442,713.409104674202,811.402566787236,886.071447888486,749.467821002969
"ENSMUSG00000059058",19.9876838896771,16.2747074628053,15.0587673809858,12.8454232209061,9.77734011463157,16.3181174090849
"ENSMUSG00000067780",8.88341506207871,15.370557048205,19.7646321875438,38.5362696627183,9.77734011463157,18.6492770389541
"ENSMUSG00000040124",19.2473993011705,19.8913091212064,21.6469781101671,26.7612983768877,18.3325127149342,15.1525375941502
"ENSMUSG00000079283",18.507114712664,13.5622562190044,29.17636180066,14.9863270910571,9.77734011463157,20.9804366688234
"ENSMUSG00000026185",950.525411642422,1118.43406286056,880.937891787668,724.69596004612,263.988183095053,843.879786012675
"ENSMUSG00000026197",49.5990674299394,56.0573257052181,85.6467394793567,36.3953657925673,59.8862082021184,59.4445705616663
"ENSMUSG00000047180",31.0919527172755,41.5909190716135,34.8233995685296,35.3249138574918,13.4438426576184,31.4706550032351
"ENSMUSG00000026495",25.169676009223,11.7539553898038,23.5293240327903,13.9158751559816,10.9995076289605,17.4836972240195
"ENSMUSG00000026547",321.283511411847,237.791559039877,253.175526592824,257.978916353198,270.099020666697,262.255458360293
"ENSMUSG00000040848",219.124238197941,226.941754064673,222.11681886954,269.753887639028,218.767985064881,212.135526318103
"ENSMUSG00000036206",145.836063935792,86.7984398016281,108.234890550835,85.6361548060407,117.328081375579,73.4315283408819
"ENSMUSG00000025997",19.2473993011705,12.6581058044041,10.3529025744277,16.0567790261326,25.6655178009079,19.8148568538888
"ENSMUSG00000018417",207.279684781836,85.8942893870278,78.1173557888638,137.017847689665,219.99015257921,107.233342973986
"ENSMUSG00000026027",51.0796366069526,52.440724046817,64.9409343305012,81.3543470657387,57.4418731734605,104.902183344117
"ENSMUSG00000026483",312.400096349768,135.622562190044,147.764154925923,135.94739575459,122.216751432895,106.067763159052
"ENSMUSG00000026466",176.928016653068,226.037603650073,232.469721443968,262.2607240935,218.767985064881,245.937340951208
"ENSMUSG00000041889",25.169676009223,10.8498049752035,14.1175944196742,13.9158751559816,4.88867005731579,4.66231925973853
"ENSMUSG00000070738",159.16118652891,524.40724046817,474.351172501052,405.701283393618,395.982274642579,455.741707639442
"ENSMUSG00000023150",1111.16716734834,979.194899012117,915.761291356198,778.218556799895,749.188686283644,860.19790342176
"ENSMUSG00000026470",139.173502639233,188.967436651461,181.646381533141,283.66976279501,283.542863324316,209.804366688234
"ENSMUSG00000034353",86.6132968552674,17.1788578774056,27.2940158780367,12.8454232209061,18.3325127149342,23.3115962986927
"ENSMUSG00000006299",253.177329269243,331.823202158307,333.175228304311,241.922137327065,311.652716153881,352.005104110259
"ENSMUSG00000014226",142.134640993259,107.593899337435,97.8819879764076,92.0588664164938,119.772416404237,93.2463851947707
"ENSMUSG00000032649",24.4293914207164,11.7539553898038,11.2940755357393,6.42271161045305,7.33300508597368,3.4967394448039
"ENSMUSG00000026288",38.4947986023411,34.3577157548111,34.8233995685296,39.6067215977938,31.7763553725526,38.4641338928429
"ENSMUSG00000042901",25.9099605977296,18.9871587066061,31.9998806845948,33.1840099873408,26.8876853152368,24.4771761136273
"ENSMUSG00000003134",68.1061821426034,18.0830082920059,21.6469781101671,16.0567790261326,21.999015257921,17.4836972240195
"ENSMUSG00000033364",49.5990674299394,23.5079107796076,15.9999403422974,24.6203945067367,21.999015257921,30.3050751883005
"ENSMUSG00000040181",208.019969370343,948.453784915707,1191.5249690205,563.057717849718,898.293123031776,854.370004347086
"ENSMUSG00000026307",28.1308143632492,59.6739273636193,68.7056261757476,49.2407890134734,67.2192132880921,60.6101503766009
"ENSMUSG00000044768",54.0407749609788,28.0286628526091,27.2940158780367,27.8317503119632,42.7758630015131,43.1264531525814
"ENSMUSG00000026074",543.368887963814,482.816321396556,543.0567986768,642.271161045305,760.188193912605,597.942445061467
"ENSMUSG00000026458",11.8445534161049,12.6581058044041,12.235248497051,7.49316354552856,9.77734011463157,10.4902183344117
"ENSMUSG00000026439",75.509028027669,63.2905290220205,52.7056858334502,61.015760299304,41.5536954871842,67.6036292662087
"ENSMUSG00000048495",19.2473993011705,18.0830082920059,30.1175347619716,33.1840099873408,26.8876853152368,22.146016483758
"ENSMUSG00000026622",39.9753677793542,9.04150414600293,6.58821072918128,11.7749712858306,12.2216751432895,26.8083357434966
"ENSMUSG00000026782",67.3658975540969,30.7411140964099,34.8233995685296,50.3112409485489,45.220198030171,41.9608733376468
"ENSMUSG00000026020",151.758340643845,82.2776877286266,92.2349502085379,93.1293183515693,112.439411318263,68.7692090811434
"ENSMUSG00000026385",830.599308304359,3354.39803816708,3332.69345600442,2308.96482395787,1869.91629692329,3658.75503907981
"ENSMUSG00000061518",390.870262731463,528.023842126571,609.880078929924,398.208119848089,541.420208847723,452.244968194638
"ENSMUSG00000047330",14.8056917701312,27.1245124380088,32.9410536459064,41.7476254679449,23.22118277225,13.9869577792156
"ENSMUSG00000042197",119.185818749556,75.0444844118243,68.7056261757476,90.9884144814183,81.8852234600394,86.2529063051629
"ENSMUSG00000073609",100.678704036892,113.922952239637,105.4113716669,69.5793757799081,86.7738935173552,99.0742842694438
"ENSMUSG00000038608",18.507114712664,57.8656265344187,37.6469184524645,52.4521448186999,40.3315279728552,34.967394448039
"ENSMUSG00000042305",109.562119098971,80.469386899426,99.7643338990308,112.397453182928,147.882269233803,102.571023714248
"ENSMUSG00000026667",163.60289405995,202.529692870466,206.116878527243,222.654002495706,219.99015257921,271.58009687977
"ENSMUSG00000005338",8.88341506207871,40.6867686570132,22.5881510714787,27.8317503119632,26.8876853152368,32.6362348181697
"ENSMUSG00000026103",273.905297747427,143.759915921446,143.058290119365,234.428973781536,167.436949463066,182.996030944737
"ENSMUSG00000037138",81.4313047357215,21.699609950407,18.8234592262322,21.4090387015102,9.77734011463157,24.4771761136273
