"STRING_id","degree","betweenness","closeness","preferred_name","DEG","degree_norm","betweenness_norm","closeness_norm","hub_score","SYMBOL","baseMean","log2FoldChange","pvalue","padj"
"10090.ENSMUSP00000156559",16,0.204744487671317,0.494117647058824,"Cdkn1a","DEG",0.64,0.635250971480214,0.823529411764706,0.69959346108164,"Cdkn1a",351.456614383136,-1.530188548754,4.33475820058382e-06,0.00475247126354917
"10090.ENSMUSP00000103015",7,0.253755323267518,0.446808510638298,"Anpep","DEG",0.28,0.787314557072441,0.74468085106383,0.603998469378757,"Anpep",146.266379306478,1.01219084184606,1.83384574644955e-05,0.017012445924755
"10090.ENSMUSP00000082971",5,0.0496515679442509,0.358974358974359,"Ncoa1","DEG",0.2,0.154051555335328,0.598290598290598,0.317447384541975,"Ncoa1",156.59352059761,-1.15420055646293,4.30432382934989e-05,0.0309960629765511
"10090.ENSMUSP00000019721",6,0.00116144018583043,0.411764705882353,"Pdk4","DEG",0.24,0.00360354515404275,0.686274509803922,0.309959351652655,"Pdk4",1614.59143421045,-2.07836505303307,3.9362306705623e-06,0.00474709418869813
"10090.ENSMUSP00000138326",6,0.00139372822299652,0.39622641509434,"Ank3","DEG",0.24,0.00432425418485131,0.660377358490566,0.301567204225139,"Ank3",31.2553004266069,2.91420620992522,9.09314414719489e-05,0.0452618268061743
"10090.ENSMUSP00000060671",2,0,0.35,"Tead1","DEG",0.08,0,0.583333333333333,0.221111111111111,"Tead1",654.22159320318,-1.71264023529127,1.34724232059056e-06,0.00241442387405307
"10090.ENSMUSP00000092732",2,0,0.336,"Ccl21a","DEG",0.08,0,0.56,0.213333333333333,"Ccl21a",85.1818331496813,2.67106802839288,4.44811370409664e-12,5.36442512714054e-08
"10090.ENSMUSP00000128943",2,0,0.318181818181818,"Prg4","DEG",0.08,0,0.53030303030303,0.203434343434343,"Prg4",100.44672811713,-1.61023507686236,1.18931788505882e-06,0.00241442387405307
"10090.ENSMUSP00000023083",2,0.0476190476190476,0.213197969543147,"Cyp2d22","DEG",0.08,0.147745351315753,0.355329949238579,0.194358433518111,"Cyp2d22",347.689130546067,-1.11976256199774,1.40140689207061e-06,0.00241442387405307
"10090.ENSMUSP00000003100",2,0,0.212121212121212,"Cyp2f2","DEG",0.08,0,0.353535353535354,0.144511784511785,"Cyp2f2",106.279305292882,1.28379952361811,4.88329350376842e-05,0.0309960629765511
